Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
155,The Ahmedabad District Co Operative Bank Ltd.,1951,328423.64,92,February,2024,Internet Banking
156,"The Akola Janata Commercial Co-Op Bank Ltd.,Akola",1698,274610.23,472,February,2024,Internet Banking
157,The Jammu And Kashmir Bank Ltd.,445712,63886409.96,159069,February,2024,Internet Banking
158,The Kalupur Commercial Co-Op Bank Ltd.,75613,25681128.33,5396,February,2024,Internet Banking
159,The Kalyan Janata Sahakari Bank Ltd.,6909,747298.09,637,February,2024,Internet Banking
160,The Karur Vysya Bank Ltd.,1028369,176523858.8,168752,February,2024,Internet Banking
161,The Surat Peoples Co-Op Bank Ltd.,15254,5678422.95,520,February,2024,Internet Banking
162,TJSB Sahakari Bank Ltd.,127999,15130826.89,15223,February,2024,Internet Banking
163,UCO Bank,331218,54524665.93,85898,February,2024,Internet Banking
164,Ujjivan Small Finance Bank Limited,73615,23469214.45,20006,February,2024,Internet Banking
165,Union Bank of India,3244457,615659645.5,429057,February,2024,Internet Banking
166,Utkarsh Small Finance Bank Limited,28124,2542778.76,8579,February,2024,Internet Banking
167,Woori Bank,2851,1702173.25,473,February,2024,Internet Banking
168,YES Bank,5265159,1992726047,345839,February,2024,Internet Banking
169,Abhyudaya Co-Operative Bank Ltd.,1,4.345,1,March,2024,Internet Banking
170,Ahmednagar Merchants Co-Op Bank Ltd.,27494,4364556.299,50,March,2024,Internet Banking
171,Airtel Payments Bank,18002,134004.0131,172,March,2024,Internet Banking
172,Andhra Pradesh Grameena Vikas Bank ,1506,95244.9191,856,March,2024,Internet Banking
173,AU Small Finance Bank Ltd.,3436914,270121209.7,72575,March,2024,Internet Banking
174,Australia And New Zealand Banking Group Limited,32078,170199406.7,58,March,2024,Internet Banking
175,Axis Bank,5070597,551498677.9,1377817,March,2024,Internet Banking
176,Bandhan Bank,367654,68227139.9,64866,March,2024,Internet Banking
177,Bank of America National Association,817209,705104746,532,March,2024,Internet Banking
178,Bank of Baroda,4106987,963024032.6,549658,March,2024,Internet Banking
179,Bank of India,3039906,767826117.2,505391,March,2024,Internet Banking
180,Bank of Maharashtra,8275631,324619826.3,147691,March,2024,Internet Banking
181,Barclays Bank PLC,135463,109794176.2,1953,March,2024,Internet Banking
182,Bassein Catholic Co-Operative Bank Ltd.,80363,7138336.809,22439,March,2024,Internet Banking
183,Bharat Co-Operative Bank (Mumbai) Ltd.,57151,16519374.43,3522,March,2024,Internet Banking
184,BNP Paribas,410802,419838463.4,425,March,2024,Internet Banking
185,Canara Bank,3448082,642802654.9,497845,March,2024,Internet Banking
186,Capital Small Finance Bank ,12338,2754377.17,625,March,2024,Internet Banking
187,Central Bank of India,12298183,349184271.5,253687,March,2024,Internet Banking
188,City Union Bank,800526,100138065.2,96961,March,2024,Internet Banking
189,Credit Agricole Corporate & Investment Bank,61151,29289469.3,169,March,2024,Internet Banking
190,CSB Bank Ltd.,102619,4907775.915,51142,March,2024,Internet Banking
191,DBS Bank India Limited,538799,306576743,59634,March,2024,Internet Banking
192,DCB Bank Limited,171763,28292788.63,19021,March,2024,Internet Banking
193,Deutsche Bank,45970,4755452.938,16993,March,2024,Internet Banking
194,Dhanlaxmi Bank Ltd.,200621,13164518.32,19874,March,2024,Internet Banking
195,Emirates NBD Bank PJSC,429,91210.89092,187,March,2024,Internet Banking
196,Equitas Small Finance Bank,99772,14119382.45,75389,March,2024,Internet Banking
197,ESAF Small Finance Bank,77832,3667565.507,3825,March,2024,Internet Banking
198,Federal Bank,2037976,202748545.8,234289,March,2024,Internet Banking
199,Fincare Small Finance Bank,144791,7372194.287,6778,March,2024,Internet Banking
200,Fino Payments Bank,17,100.163,5,March,2024,Internet Banking
201,"GP Parsik Sahakari Bank Ltd.,Thane",45780,6071049.87,5235,March,2024,Internet Banking
202,HDFC Bank,69291358,7442464946,29016275,March,2024,Internet Banking
203,HSBC,8861050,4841235264,171730,March,2024,Internet Banking
204,ICICI Bank,108896140,45079846445,4202464,March,2024,Internet Banking
205,IDBI Bank,2630388,805290436.7,533201,March,2024,Internet Banking
206,IDFC First Bank Ltd.,4398276,1357546613,483562,March,2024,Internet Banking
207,Indian Bank,2902385,354941791.2,443368,March,2024,Internet Banking
208,Indian Overeas Bank,3181806,313147824.5,357310,March,2024,Internet Banking
209,IndusInd Bank Limited,13034763,565401557.1,538537,March,2024,Internet Banking
210,Industrial And Commercial Bank of China Ltd.,705,1488538.432,37,March,2024,Internet Banking
211,Industrial Bank of Korea,1982,1394990.732,100,March,2024,Internet Banking
212,Jana Small Finance Bank,21949,2547913.213,5553,March,2024,Internet Banking
213,"Janata Sahakari Bank Ltd.,Pune",82777,7685508.265,7041,March,2024,Internet Banking
214,Karnataka Bank,479951,68201224.55,38239,March,2024,Internet Banking
215,Kookmin Bank,407,119282.4692,84,March,2024,Internet Banking
216,Kotak Mahindra Bank,16664115,4308653088,2133855,March,2024,Internet Banking
217,"Mahesh Sahakari Bank Limited,Pune",10231,1376381.505,11290,March,2024,Internet Banking
218,MUFG Bank Ltd.,145083,175447159.4,523,March,2024,Internet Banking
219,Nainital Bank,15106,2691121.672,1655,March,2024,Internet Banking
220,New India Co-Operative Bank Ltd.,7219,517371.7155,1777,March,2024,Internet Banking
221,NKGSB Co-Op. Bank Ltd.,35964,3331360.002,5534,March,2024,Internet Banking
222,North East Small Finance Bank Limited,7618,1433438.038,345,March,2024,Internet Banking
223,NSDL Payments Bank,7065,42268314.19,22,March,2024,Internet Banking
224,Paytm Payments Bank Limited,22555,295602.3167,262,March,2024,Internet Banking
225,Punjab & Sind Bank,171805,33931745.42,24885,March,2024,Internet Banking
226,Punjab National Bank,6763518,1974400054,692448,March,2024,Internet Banking
227,RBL Bank,927729,218955908.4,113593,March,2024,Internet Banking
228,Saraswat Co-Operative Bank Ltd.,523955,98517684.38,52588,March,2024,Internet Banking
229,SBM Bank India Ltd.,23348,7613885.035,2606,March,2024,Internet Banking
230,Shinhan Bank,10950,8233277.328,3764,March,2024,Internet Banking
231,Shivalik Small Finance Bank Ltd.,43493,4798980.208,1281,March,2024,Internet Banking
232,Societe Generale,615,1737820.93,10,March,2024,Internet Banking
233,South Indian Bank,783917,89127495.33,69656,March,2024,Internet Banking
234,State Bank of India,125271905,26250994718,39201723,March,2024,Internet Banking
235,Suryoday Small Finance Bank,11129,1529713.851,7583,March,2024,Internet Banking
236,SVC Bank Ltd.,138892,22477405.66,37013,March,2024,Internet Banking
237,Tamil Nadu State Co-Op Bank,11566,8772772.734,797,March,2024,Internet Banking
238,Tamilnad Mercantile Bank Ltd.,593742,92601416.22,43891,March,2024,Internet Banking
239,Thane Bharat Sahakari Bank Ltd.,23975,2137728.758,2918,March,2024,Internet Banking
240,The Ahmedabad District Co Operative Bank Ltd.,2309,401767.4432,90,March,2024,Internet Banking
241,"The Akola Janata Commercial Co-Op Bank Ltd.,Akola",2278,377872.039,514,March,2024,Internet Banking
242,The Jammu And Kashmir Bank Ltd.,514587,72937648.03,150386,March,2024,Internet Banking
243,The Kalupur Commercial Co-Op Bank Ltd.,95003,33552864.56,5631,March,2024,Internet Banking
244,The Kalyan Janata Sahakari Bank Ltd.,8169,948629.4772,686,March,2024,Internet Banking
245,The Karur Vysya Bank Ltd.,1084804,213084620.9,168812,March,2024,Internet Banking
246,The Surat Peoples Co-Op Bank Ltd.,19864,8004572.183,708,March,2024,Internet Banking
247,TJSB Sahakari Bank Ltd.,144337,18181382.49,15371,March,2024,Internet Banking
248,UCO Bank,388298,71170853.5,86216,March,2024,Internet Banking
249,Ujjivan Small Finance Bank Limited,93202,25822566.85,18313,March,2024,Internet Banking
250,Union Bank of India,3540771,732191053.2,427572,March,2024,Internet Banking
251,Utkarsh Small Finance Bank Limited,38937,3407204.853,9072,March,2024,Internet Banking
252,Woori Bank,2813,2252401.633,473,March,2024,Internet Banking
253,YES Bank,7155000,2270513838,343841,March,2024,Internet Banking
254,Abhyudaya Co-Operative Bank Ltd.,0,0,1,April,2024,Internet Banking
255,Ahmednagar Merchants Co-Op Bank Ltd.,22880,3976455.281,1591,April,2024,Internet Banking
256,Airtel Payments Bank,17142,126445.7584,165,April,2024,Internet Banking
257,Andhra Pradesh Grameena Vikas Bank ,1319,92024.98438,843,April,2024,Internet Banking
258,AU Small Finance Bank Ltd.,1779147,217334298.3,78651,April,2024,Internet Banking
259,Australia And New Zealand Banking Group Limited,29701,149748516.3,58,April,2024,Internet Banking
260,Axis Bank,5135063,468103426.7,1375801,April,2024,Internet Banking
261,Bandhan Bank,370977,63005605.45,66339,April,2024,Internet Banking
262,Bank of America National Association,808935,754451336.6,526,April,2024,Internet Banking
263,Bank of Baroda,3443995,748784460.9,565884,April,2024,Internet Banking
264,Bank of India,2608920,623118065,519990,April,2024,Internet Banking
265,Bank of Maharashtra,7858978,274903936.5,142888,April,2024,Internet Banking
266,Barclays Bank PLC,123840,67945735.93,1954,April,2024,Internet Banking
267,Bassein Catholic Co-Operative Bank Ltd.,70385,6002173.535,21742,April,2024,Internet Banking
268,Bharat Co-Operative Bank (Mumbai) Ltd.,46528,10368263.47,3392,April,2024,Internet Banking
269,BNP Paribas,416065,415724799.1,429,April,2024,Internet Banking
270,Canara Bank,3312235,563915116.4,504285,April,2024,Internet Banking
271,Capital Small Finance Bank ,10666,2432963.626,637,April,2024,Internet Banking
272,Central Bank of India,11680751,255039280.1,254265,April,2024,Internet Banking
273,City Union Bank,693499,84308696.29,96922,April,2024,Internet Banking
274,Credit Agricole Corporate & Investment Bank,54053,25328633.12,156,April,2024,Internet Banking
275,CSB Bank Ltd.,94177,4519383.691,50862,April,2024,Internet Banking
276,DBS Bank India Limited,468210,280456804.1,58262,April,2024,Internet Banking
277,DCB Bank Limited,145032,23083461.61,19813,April,2024,Internet Banking
278,Deutsche Bank,44683,3841158.141,17320,April,2024,Internet Banking
279,Dhanlaxmi Bank Ltd.,210087,12284101.69,19416,April,2024,Internet Banking
280,Emirates NBD Bank PJSC,388,66850.00634,180,April,2024,Internet Banking
281,Equitas Small Finance Bank,88788,12855682.08,75295,April,2024,Internet Banking
282,ESAF Small Finance Bank,88885,3558417.708,3937,April,2024,Internet Banking
283,Federal Bank,1846159,163878459.3,232698,April,2024,Internet Banking
284,Fino Payments Bank,14,114.051,3,April,2024,Internet Banking
285,"GP Parsik Sahakari Bank Ltd.,Thane",39792,5009279.988,5404,April,2024,Internet Banking
286,HDFC Bank,62835216,6372019505,28928544,April,2024,Internet Banking
287,HSBC,8345626,4327123841,174686,April,2024,Internet Banking
288,ICICI Bank,94769323,40504951646,4342748,April,2024,Internet Banking
289,IDBI Bank,2284120,711654817.8,538842,April,2024,Internet Banking
290,IDFC First Bank Ltd.,3619385,1052204568,487332,April,2024,Internet Banking
291,Indian Bank,2532090,288461750.8,436217,April,2024,Internet Banking
292,Indian Overeas Bank,2910375,265264431.8,356649,April,2024,Internet Banking
293,IndusInd Bank Limited,6614167,414804622.9,502991,April,2024,Internet Banking
294,Industrial And Commercial Bank of China Ltd.,797,813017.6643,35,April,2024,Internet Banking
295,Industrial Bank of Korea,2067,1594773.683,100,April,2024,Internet Banking
296,Jana Small Finance Bank,23938,2564764.565,6122,April,2024,Internet Banking
297,"Janata Sahakari Bank Ltd.,Pune",71076,7166360.675,6967,April,2024,Internet Banking
298,Karnataka Bank,418914,56120063.26,38491,April,2024,Internet Banking
299,Kookmin Bank,463,260561.2208,97,April,2024,Internet Banking
300,Kotak Mahindra Bank,15217588,3519971613,2130898,April,2024,Internet Banking
301,"Mahesh Sahakari Bank Limited,Pune",7549,1028016.114,11505,April,2024,Internet Banking
302,MUFG Bank Ltd.,125565,156276764.3,525,April,2024,Internet Banking
303,Nainital Bank,12574,2187396.345,1642,April,2024,Internet Banking
304,New India Co-Operative Bank Ltd.,6305,414479.3136,1782,April,2024,Internet Banking
305,NKGSB Co-Op. Bank Ltd.,31618,3028755.049,5707,April,2024,Internet Banking
306,North East Small Finance Bank Limited,8954,1456835.711,344,April,2024,Internet Banking
307,NSDL Payments Bank,7436,53189091.58,20,April,2024,Internet Banking
308,Paytm Payments Bank Limited,65,1521.40219,137,April,2024,Internet Banking
309,Punjab & Sind Bank,142330,25178557.66,25511,April,2024,Internet Banking
310,Punjab National Bank,5797302,1600805425,651915,April,2024,Internet Banking
311,RBL Bank,1047311,196509644.6,114792,April,2024,Internet Banking
312,Saraswat Co-Operative Bank Ltd.,449140,80106261,54232,April,2024,Internet Banking
313,SBM Bank India Ltd.,12102,6811026.614,2924,April,2024,Internet Banking
314,Shinhan Bank,10478,7057272.297,3727,April,2024,Internet Banking
315,Shivalik Small Finance Bank Ltd.,52856,5031737.053,1333,April,2024,Internet Banking
316,Societe Generale,506,12686749.92,10,April,2024,Internet Banking
317,South Indian Bank,710818,80975984.21,70029,April,2024,Internet Banking
318,State Bank of India,113020558,20063104070,39699253,April,2024,Internet Banking
319,Suryoday Small Finance Bank,11556,1296522.689,9107,April,2024,Internet Banking
320,SVC Bank Ltd.,123113,20256907.93,37735,April,2024,Internet Banking
321,Tamil Nadu State Co-Op Bank,10284,4850276.041,838,April,2024,Internet Banking
322,Tamilnad Mercantile Bank Ltd.,516646,76380046.44,43894,April,2024,Internet Banking
323,Thane Bharat Sahakari Bank Ltd.,21100,1865524.475,2919,April,2024,Internet Banking
324,The Ahmedabad District Co Operative Bank Ltd.,2050,343614.8921,95,April,2024,Internet Banking
325,"The Akola Janata Commercial Co-Op Bank Ltd.,Akola",1678,299430.9105,603,April,2024,Internet Banking
326,The Jammu And Kashmir Bank Ltd.,474417,66277766.51,151673,April,2024,Internet Banking
327,The Kalupur Commercial Co-Op Bank Ltd.,67665,23253977.66,5744,April,2024,Internet Banking
328,The Kalyan Janata Sahakari Bank Ltd.,6898,748277.0264,689,April,2024,Internet Banking
329,The Karur Vysya Bank Ltd.,930803,170051062.9,167743,April,2024,Internet Banking
330,The Surat Peoples Co-Op Bank Ltd.,14941,5099989.576,747,April,2024,Internet Banking
331,TJSB Sahakari Bank Ltd.,122977,14690174.27,15615,April,2024,Internet Banking
332,UCO Bank,357798,58783506.01,85797,April,2024,Internet Banking
333,Ujjivan Small Finance Bank Limited,128896,25041633.03,15698,April,2024,Internet Banking
334,Union Bank of India,3084708,610712979.5,428310,April,2024,Internet Banking
335,Utkarsh Small Finance Bank Limited,43262,3767216.474,9359,April,2024,Internet Banking
336,Woori Bank,2573,2198782.281,460,April,2024,Internet Banking
337,YES Bank,7120705,1924274837,394327,April,2024,Internet Banking
338,Abhyudaya Co-Operative Bank Ltd.,1,33.8385,1,May,2024,Internet Banking
339,Ahmednagar Merchants Co-Op Bank Ltd.,23972,4067762.713,1567,May,2024,Internet Banking
340,Airtel Payments Bank,18321,132069.4821,151,May,2024,Internet Banking
341,Andhra Pradesh Grameena Vikas Bank ,1735,121711.0241,944,May,2024,Internet Banking
342,AU Small Finance Bank Ltd.,1017809,229424312.5,74370,May,2024,Internet Banking
343,Australia And New Zealand Banking Group Limited,31566,157764905.4,58,May,2024,Internet Banking
344,Axis Bank,4699628,459492960.8,1351843,May,2024,Internet Banking
345,Bandhan Bank,473553,71590366.11,65523,May,2024,Internet Banking
346,Bank of America National Association,850548,745550042.3,529,May,2024,Internet Banking
347,Bank of Baroda,3544691,768899747.6,552591,May,2024,Internet Banking
348,Bank of India,2721143,629186305.5,512772,May,2024,Internet Banking
349,Bank of Maharashtra,7697152,267719035.1,149760,May,2024,Internet Banking
350,Barclays Bank PLC,116396,84236199.07,1953,May,2024,Internet Banking
